Category,DayOfWeek,Time,PdDistrict,Resolution
OTHER OFFENSES,Wednesday,09:30,BAYVIEW,NONE
LARCENY/THEFT,Monday,10:30,CENTRAL,NONE
ROBBERY,Friday,18:20,SOUTHERN,NONE
LARCENY/THEFT,Thursday,14:30,CENTRAL,NONE
ROBBERY,Thursday,17:54,MISSION,NONE
VANDALISM,Wednesday,23:10,NORTHERN,"ARREST, BOOKED"
NON-CRIMINAL,Sunday,16:00,TARAVAL,NONE
VEHICLE THEFT,Friday,18:00,NORTHERN,NONE
TRESPASS,Friday,01:11,TENDERLOIN,"ARREST, BOOKED"
VANDALISM,Saturday,14:30,CENTRAL,NONE
LARCENY/THEFT,Friday,22:15,INGLESIDE,NONE
VEHICLE THEFT,Wednesday,00:01,TENDERLOIN,NONE
VANDALISM,Friday,00:01,MISSION,NONE
OTHER OFFENSES,Monday,15:50,BAYVIEW,"ARREST, BOOKED"
WEAPON LAWS,Tuesday,16:34,SOUTHERN,"ARREST, BOOKED"
ASSAULT,Thursday,16:25,TENDERLOIN,"ARREST, BOOKED"
SUSPICIOUS OCC,Saturday,13:15,BAYVIEW,"ARREST, BOOKED"
VANDALISM,Friday,20:01,INGLESIDE,NONE
LARCENY/THEFT,Wednesday,16:20,PARK,NONE
ASSAULT,Thursday,01:00,MISSION,"ARREST, BOOKED"
NON-CRIMINAL,Monday,15:40,RICHMOND,NONE
LARCENY/THEFT,Tuesday,06:30,RICHMOND,NONE
OTHER OFFENSES,Wednesday,19:41,SOUTHERN,"ARREST, BOOKED"
OTHER OFFENSES,Thursday,22:44,MISSION,"ARREST, BOOKED"
WARRANTS,Wednesday,08:32,MISSION,"ARREST, BOOKED"
VEHICLE THEFT,Monday,15:24,TARAVAL,NONE
ROBBERY,Thursday,23:00,TENDERLOIN,NONE
OTHER OFFENSES,Thursday,00:20,MISSION,"ARREST, BOOKED"
ASSAULT,Wednesday,08:30,NORTHERN,NONE
VANDALISM,Thursday,14:00,SOUTHERN,NONE
LARCENY/THEFT,Thursday,16:41,MISSION,NONE
ASSAULT,Sunday,02:38,TENDERLOIN,NONE
LARCENY/THEFT,Tuesday,21:15,PARK,NONE
MISSING PERSON,Monday,12:00,SOUTHERN,NONE
ASSAULT,Tuesday,14:01,MISSION,"ARREST, BOOKED"
BURGLARY,Monday,07:00,NORTHERN,NONE
NON-CRIMINAL,Friday,21:00,SOUTHERN,NONE
"SEX OFFENSES, FORCIBLE",Thursday,17:57,PARK,"ARREST, BOOKED"
LARCENY/THEFT,Monday,12:25,NORTHERN,NONE
NON-CRIMINAL,Thursday,20:12,TARAVAL,NONE
ASSAULT,Tuesday,01:30,PARK,"ARREST, BOOKED"
LARCENY/THEFT,Friday,17:14,NORTHERN,NONE
NON-CRIMINAL,Sunday,05:06,MISSION,NONE
LARCENY/THEFT,Tuesday,12:25,TENDERLOIN,NONE
OTHER OFFENSES,Friday,21:45,RICHMOND,"ARREST, BOOKED"
OTHER OFFENSES,Thursday,12:00,NORTHERN,NONE
ASSAULT,Monday,18:22,TENDERLOIN,NONE
SUSPICIOUS OCC,Friday,16:30,CENTRAL,"ARREST, BOOKED"
RECOVERED VEHICLE,Sunday,12:44,BAYVIEW,NONE
LARCENY/THEFT,Sunday,01:00,MISSION,NONE
NON-CRIMINAL,Wednesday,12:30,TARAVAL,NONE
LARCENY/THEFT,Monday,01:00,CENTRAL,NONE
SUSPICIOUS OCC,Tuesday,22:52,NORTHERN,NONE
VEHICLE THEFT,Thursday,00:01,MISSION,NONE
VANDALISM,Tuesday,15:21,SOUTHERN,NONE
LARCENY/THEFT,Sunday,16:43,SOUTHERN,NONE
SUSPICIOUS OCC,Tuesday,02:00,SOUTHERN,NONE
OTHER OFFENSES,Tuesday,12:00,NORTHERN,NONE
LARCENY/THEFT,Wednesday,17:00,PARK,NONE
LARCENY/THEFT,Thursday,18:30,SOUTHERN,NONE
MISSING PERSON,Wednesday,10:00,NORTHERN,NONE
ASSAULT,Sunday,10:55,INGLESIDE,NONE
LARCENY/THEFT,Monday,01:45,TARAVAL,NONE
LARCENY/THEFT,Friday,17:45,TENDERLOIN,NONE
VEHICLE THEFT,Thursday,16:00,RICHMOND,NONE
VANDALISM,Friday,19:00,MISSION,NONE
MISSING PERSON,Saturday,22:49,BAYVIEW,NONE
LARCENY/THEFT,Monday,01:00,TARAVAL,NONE
LARCENY/THEFT,Wednesday,17:30,TENDERLOIN,NONE
LARCENY/THEFT,Thursday,05:30,NORTHERN,"ARREST, BOOKED"
NON-CRIMINAL,Wednesday,15:00,TENDERLOIN,NONE
LARCENY/THEFT,Friday,11:00,PARK,NONE
NON-CRIMINAL,Wednesday,06:49,MISSION,NONE
ASSAULT,Sunday,18:30,BAYVIEW,NONE
NON-CRIMINAL,Tuesday,16:00,SOUTHERN,NONE
ASSAULT,Wednesday,21:13,TARAVAL,"ARREST, BOOKED"
LARCENY/THEFT,Monday,19:00,INGLESIDE,NONE
LARCENY/THEFT,Thursday,19:00,CENTRAL,NONE
STOLEN PROPERTY,Tuesday,12:00,NORTHERN,"ARREST, BOOKED"
LARCENY/THEFT,Monday,10:20,NORTHERN,NONE
ASSAULT,Thursday,11:15,MISSION,NONE
NON-CRIMINAL,Friday,08:30,CENTRAL,NONE
OTHER OFFENSES,Tuesday,22:00,SOUTHERN,"ARREST, BOOKED"
VEHICLE THEFT,Thursday,00:01,INGLESIDE,NONE
OTHER OFFENSES,Wednesday,09:12,MISSION,"ARREST, BOOKED"
SUSPICIOUS OCC,Friday,00:01,TENDERLOIN,NONE
ASSAULT,Monday,07:11,MISSION,NONE
LARCENY/THEFT,Friday,15:59,SOUTHERN,"ARREST, BOOKED"
ASSAULT,Saturday,03:00,TARAVAL,NONE
DRUNKENNESS,Saturday,00:21,TARAVAL,"ARREST, BOOKED"
LARCENY/THEFT,Wednesday,01:40,SOUTHERN,NONE
LARCENY/THEFT,Monday,11:15,CENTRAL,NONE
LARCENY/THEFT,Saturday,11:00,SOUTHERN,NONE
NON-CRIMINAL,Saturday,18:30,TARAVAL,NONE
VANDALISM,Tuesday,16:00,INGLESIDE,NONE
BURGLARY,Thursday,04:18,MISSION,NONE
LARCENY/THEFT,Tuesday,21:30,TARAVAL,NONE
OTHER OFFENSES,Monday,18:39,CENTRAL,NONE
OTHER OFFENSES,Friday,18:14,SOUTHERN,"ARREST, BOOKED"
OTHER OFFENSES,Wednesday,18:08,BAYVIEW,NONE
LARCENY/THEFT,Thursday,19:00,TARAVAL,NONE
NON-CRIMINAL,Sunday,07:10,TARAVAL,NONE
OTHER OFFENSES,Thursday,13:00,TARAVAL,NONE
LARCENY/THEFT,Thursday,17:00,NORTHERN,NONE
OTHER OFFENSES,Monday,23:13,SOUTHERN,"ARREST, BOOKED"
LARCENY/THEFT,Wednesday,17:30,CENTRAL,NONE
LARCENY/THEFT,Tuesday,11:15,MISSION,NONE
"SEX OFFENSES, FORCIBLE",Wednesday,03:00,PARK,NONE
NON-CRIMINAL,Wednesday,00:02,TENDERLOIN,NONE
OTHER OFFENSES,Sunday,00:01,MISSION,NONE
FRAUD,Friday,00:01,TENDERLOIN,NONE
RECOVERED VEHICLE,Sunday,21:24,MISSION,NONE
LARCENY/THEFT,Monday,19:00,BAYVIEW,NONE
DRUNKENNESS,Thursday,12:31,BAYVIEW,NONE
LARCENY/THEFT,Saturday,21:15,SOUTHERN,NONE
TRESPASS,Sunday,13:40,MISSION,"ARREST, BOOKED"
LARCENY/THEFT,Saturday,10:00,SOUTHERN,NONE
SUSPICIOUS OCC,Wednesday,08:00,PARK,NONE
VANDALISM,Sunday,01:00,NORTHERN,NONE
OTHER OFFENSES,Thursday,16:29,PARK,"ARREST, BOOKED"
VANDALISM,Wednesday,17:48,CENTRAL,"ARREST, BOOKED"
LARCENY/THEFT,Monday,17:54,SOUTHERN,NONE
WARRANTS,Friday,11:00,SOUTHERN,NONE
WARRANTS,Monday,14:46,INGLESIDE,"ARREST, BOOKED"
DRUG/NARCOTIC,Thursday,13:14,TENDERLOIN,"ARREST, BOOKED"
LARCENY/THEFT,Tuesday,15:29,SOUTHERN,NONE
ASSAULT,Friday,23:26,TENDERLOIN,NONE
OTHER OFFENSES,Wednesday,20:28,MISSION,"ARREST, BOOKED"
LARCENY/THEFT,Saturday,18:03,TARAVAL,NONE
DRUG/NARCOTIC,Friday,08:37,TENDERLOIN,"ARREST, BOOKED"
ASSAULT,Monday,20:45,SOUTHERN,"ARREST, BOOKED"
BURGLARY,Monday,15:30,SOUTHERN,NONE
LARCENY/THEFT,Sunday,13:30,PARK,NONE
VANDALISM,Tuesday,21:30,CENTRAL,NONE
NON-CRIMINAL,Friday,03:13,SOUTHERN,NONE
SUSPICIOUS OCC,Saturday,23:00,TENDERLOIN,NONE
SECONDARY CODES,Wednesday,20:16,MISSION,NONE
ROBBERY,Thursday,01:40,TENDERLOIN,NONE
WARRANTS,Thursday,11:02,SOUTHERN,"ARREST, BOOKED"
LARCENY/THEFT,Tuesday,21:00,PARK,NONE
OTHER OFFENSES,Tuesday,16:30,INGLESIDE,"ARREST, BOOKED"
VANDALISM,Monday,13:15,SOUTHERN,NONE
LARCENY/THEFT,Saturday,20:30,RICHMOND,NONE
VANDALISM,Friday,20:30,PARK,NONE
ASSAULT,Saturday,02:30,CENTRAL,"ARREST, BOOKED"
VEHICLE THEFT,Saturday,05:30,INGLESIDE,NONE
ROBBERY,Saturday,02:56,BAYVIEW,NONE
DRUG/NARCOTIC,Friday,17:39,INGLESIDE,"ARREST, BOOKED"
NON-CRIMINAL,Saturday,15:30,CENTRAL,NONE
BURGLARY,Tuesday,22:00,NORTHERN,NONE
LARCENY/THEFT,Monday,16:45,PARK,NONE
DRUG/NARCOTIC,Thursday,16:34,SOUTHERN,"ARREST, BOOKED"
WARRANTS,Tuesday,04:22,NORTHERN,"ARREST, BOOKED"
VANDALISM,Friday,14:10,INGLESIDE,NONE
LARCENY/THEFT,Wednesday,10:00,NORTHERN,NONE
MISSING PERSON,Friday,14:00,SOUTHERN,NONE
ASSAULT,Monday,23:30,CENTRAL,"ARREST, BOOKED"
LARCENY/THEFT,Wednesday,20:07,CENTRAL,NONE
LARCENY/THEFT,Friday,17:00,NORTHERN,NONE
NON-CRIMINAL,Tuesday,16:35,TARAVAL,NONE
LIQUOR LAWS,Saturday,22:00,INGLESIDE,NONE
NON-CRIMINAL,Wednesday,10:25,MISSION,NONE
WARRANTS,Tuesday,03:38,CENTRAL,"ARREST, BOOKED"
LARCENY/THEFT,Thursday,04:00,SOUTHERN,NONE
LARCENY/THEFT,Saturday,08:15,TARAVAL,NONE
VEHICLE THEFT,Thursday,21:00,PARK,NONE
OTHER OFFENSES,Friday,19:15,BAYVIEW,NONE
NON-CRIMINAL,Monday,11:00,RICHMOND,NONE
LARCENY/THEFT,Thursday,10:50,NORTHERN,NONE
BURGLARY,Friday,16:00,TENDERLOIN,NONE
OTHER OFFENSES,Saturday,10:55,BAYVIEW,"ARREST, BOOKED"
VANDALISM,Thursday,13:17,RICHMOND,NONE
EMBEZZLEMENT,Saturday,12:56,SOUTHERN,"ARREST, BOOKED"
VEHICLE THEFT,Friday,18:30,MISSION,NONE
LARCENY/THEFT,Thursday,20:30,RICHMOND,NONE
OTHER OFFENSES,Wednesday,14:46,TENDERLOIN,"ARREST, BOOKED"
WARRANTS,Saturday,18:06,PARK,"ARREST, BOOKED"
OTHER OFFENSES,Monday,12:00,CENTRAL,NONE
ASSAULT,Sunday,03:15,MISSION,NONE
NON-CRIMINAL,Friday,16:30,CENTRAL,NONE
FORGERY/COUNTERFEITING,Wednesday,08:00,NORTHERN,NONE
ROBBERY,Thursday,14:00,SOUTHERN,NONE
ASSAULT,Monday,14:25,SOUTHERN,"ARREST, BOOKED"
NON-CRIMINAL,Wednesday,21:32,SOUTHERN,NONE
OTHER OFFENSES,Tuesday,13:23,CENTRAL,"ARREST, BOOKED"
ASSAULT,Sunday,01:44,SOUTHERN,NONE
OTHER OFFENSES,Sunday,15:00,TARAVAL,NONE
NON-CRIMINAL,Wednesday,12:45,PARK,NONE
NON-CRIMINAL,Tuesday,12:45,SOUTHERN,NONE
WARRANTS,Friday,17:26,SOUTHERN,"ARREST, BOOKED"
LARCENY/THEFT,Sunday,11:44,PARK,NONE
ASSAULT,Wednesday,16:29,NORTHERN,"ARREST, BOOKED"
LARCENY/THEFT,Saturday,20:50,BAYVIEW,NONE
VEHICLE THEFT,Thursday,21:00,PARK,NONE
SUSPICIOUS OCC,Tuesday,07:53,NORTHERN,NONE
LARCENY/THEFT,Thursday,20:43,TENDERLOIN,NONE
NON-CRIMINAL,Friday,17:25,SOUTHERN,NONE
NON-CRIMINAL,Saturday,06:00,CENTRAL,NONE
OTHER OFFENSES,Wednesday,18:33,TENDERLOIN,"ARREST, BOOKED"
OTHER OFFENSES,Sunday,10:14,SOUTHERN,"ARREST, BOOKED"
VANDALISM,Sunday,20:45,SOUTHERN,NONE
VEHICLE THEFT,Tuesday,14:00,SOUTHERN,NONE
LARCENY/THEFT,Saturday,07:00,CENTRAL,NONE
OTHER OFFENSES,Monday,00:01,BAYVIEW,NONE
WARRANTS,Monday,19:40,TENDERLOIN,"ARREST, BOOKED"
NON-CRIMINAL,Friday,06:30,BAYVIEW,NONE
LARCENY/THEFT,Sunday,11:00,SOUTHERN,NONE
LARCENY/THEFT,Sunday,09:00,CENTRAL,NONE
OTHER OFFENSES,Monday,17:14,BAYVIEW,"ARREST, BOOKED"
VANDALISM,Tuesday,18:00,NORTHERN,NONE
OTHER OFFENSES,Tuesday,15:00,TENDERLOIN,NONE
ROBBERY,Thursday,09:51,MISSION,NONE
ASSAULT,Friday,08:00,SOUTHERN,NONE
DRUG/NARCOTIC,Monday,07:43,TARAVAL,"ARREST, BOOKED"
LARCENY/THEFT,Saturday,00:07,SOUTHERN,NONE
LARCENY/THEFT,Saturday,19:45,NORTHERN,NONE
LARCENY/THEFT,Thursday,09:00,CENTRAL,NONE
BURGLARY,Wednesday,16:00,RICHMOND,NONE
OTHER OFFENSES,Tuesday,15:00,MISSION,NONE
LARCENY/THEFT,Saturday,23:00,TARAVAL,NONE
LARCENY/THEFT,Friday,13:45,MISSION,NONE
ASSAULT,Saturday,20:08,MISSION,NONE
VEHICLE THEFT,Tuesday,20:00,INGLESIDE,NONE
LARCENY/THEFT,Saturday,15:09,PARK,"ARREST, BOOKED"
LARCENY/THEFT,Friday,17:00,CENTRAL,NONE
NON-CRIMINAL,Saturday,22:00,NORTHERN,NONE
BURGLARY,Saturday,12:00,NORTHERN,NONE
MISSING PERSON,Wednesday,20:00,BAYVIEW,NONE
NON-CRIMINAL,Friday,12:43,MISSION,NONE
LARCENY/THEFT,Saturday,18:20,CENTRAL,"ARREST, BOOKED"
VANDALISM,Saturday,00:48,SOUTHERN,NONE
OTHER OFFENSES,Sunday,10:00,SOUTHERN,NONE
ASSAULT,Monday,10:20,BAYVIEW,NONE
ASSAULT,Wednesday,09:00,MISSION,"ARREST, BOOKED"
LARCENY/THEFT,Tuesday,17:00,NORTHERN,NONE
LARCENY/THEFT,Thursday,19:00,CENTRAL,NONE
LARCENY/THEFT,Tuesday,21:00,BAYVIEW,NONE
ASSAULT,Thursday,21:20,MISSION,NONE
BURGLARY,Friday,09:01,CENTRAL,NONE
LARCENY/THEFT,Friday,23:15,MISSION,NONE
NON-CRIMINAL,Wednesday,18:00,PARK,NONE
LARCENY/THEFT,Tuesday,19:45,SOUTHERN,NONE
OTHER OFFENSES,Sunday,06:36,TENDERLOIN,"ARREST, BOOKED"
NON-CRIMINAL,Tuesday,06:38,CENTRAL,NONE
DRUG/NARCOTIC,Wednesday,09:20,TENDERLOIN,"ARREST, BOOKED"
WARRANTS,Monday,12:53,TENDERLOIN,"ARREST, BOOKED"
WARRANTS,Tuesday,15:05,SOUTHERN,"ARREST, BOOKED"
NON-CRIMINAL,Friday,22:20,PARK,NONE
ASSAULT,Monday,11:30,MISSION,NONE
FRAUD,Monday,17:00,TARAVAL,NONE
LARCENY/THEFT,Tuesday,11:35,CENTRAL,NONE
DRUG/NARCOTIC,Friday,13:40,MISSION,"ARREST, BOOKED"
ASSAULT,Sunday,02:00,NORTHERN,NONE
OTHER OFFENSES,Tuesday,18:00,INGLESIDE,NONE
VEHICLE THEFT,Tuesday,02:43,SOUTHERN,"ARREST, BOOKED"
LARCENY/THEFT,Friday,18:30,MISSION,NONE
LARCENY/THEFT,Friday,21:30,NORTHERN,NONE
NON-CRIMINAL,Friday,14:20,PARK,NONE
OTHER OFFENSES,Thursday,21:35,CENTRAL,"ARREST, BOOKED"
ASSAULT,Monday,23:14,INGLESIDE,"ARREST, BOOKED"
VANDALISM,Thursday,01:20,NORTHERN,"ARREST, BOOKED"
LARCENY/THEFT,Saturday,12:00,CENTRAL,NONE
DRUG/NARCOTIC,Monday,09:40,TENDERLOIN,NONE
LARCENY/THEFT,Monday,00:01,TARAVAL,NONE
WARRANTS,Tuesday,16:25,INGLESIDE,"ARREST, BOOKED"
LARCENY/THEFT,Friday,23:00,SOUTHERN,NONE
SUSPICIOUS OCC,Friday,09:00,BAYVIEW,NONE
LARCENY/THEFT,Sunday,15:30,NORTHERN,NONE
OTHER OFFENSES,Sunday,15:12,SOUTHERN,NONE
ASSAULT,Saturday,01:20,NORTHERN,NONE
ASSAULT,Wednesday,13:00,PARK,"ARREST, BOOKED"
SECONDARY CODES,Friday,23:25,SOUTHERN,"ARREST, BOOKED"
ASSAULT,Tuesday,11:20,CENTRAL,NONE
OTHER OFFENSES,Sunday,13:10,TENDERLOIN,"ARREST, BOOKED"
VANDALISM,Tuesday,23:00,NORTHERN,NONE
FRAUD,Thursday,13:30,NORTHERN,NONE
WARRANTS,Tuesday,15:53,TENDERLOIN,"ARREST, BOOKED"
DRUG/NARCOTIC,Saturday,06:40,TENDERLOIN,"ARREST, BOOKED"
NON-CRIMINAL,Saturday,21:00,SOUTHERN,NONE
LARCENY/THEFT,Monday,22:00,SOUTHERN,NONE
LARCENY/THEFT,Monday,09:40,SOUTHERN,NONE
VEHICLE THEFT,Wednesday,23:00,RICHMOND,NONE
LARCENY/THEFT,Saturday,20:00,SOUTHERN,NONE
ASSAULT,Monday,17:51,TENDERLOIN,"ARREST, BOOKED"
NON-CRIMINAL,Monday,07:30,MISSION,NONE
LARCENY/THEFT,Thursday,09:30,PARK,NONE
LARCENY/THEFT,Tuesday,13:10,SOUTHERN,NONE
NON-CRIMINAL,Wednesday,05:36,TARAVAL,NONE
SUSPICIOUS OCC,Monday,16:45,TARAVAL,NONE
SECONDARY CODES,Sunday,01:08,RICHMOND,NONE
LARCENY/THEFT,Friday,01:07,TENDERLOIN,NONE
VEHICLE THEFT,Sunday,18:00,SOUTHERN,NONE
NON-CRIMINAL,Thursday,11:32,SOUTHERN,NONE
OTHER OFFENSES,Thursday,16:07,SOUTHERN,"ARREST, BOOKED"
OTHER OFFENSES,Wednesday,10:51,BAYVIEW,"ARREST, BOOKED"
VANDALISM,Wednesday,22:00,RICHMOND,NONE
OTHER OFFENSES,Thursday,08:00,MISSION,NONE
WARRANTS,Sunday,12:24,CENTRAL,"ARREST, BOOKED"
ASSAULT,Saturday,12:00,INGLESIDE,NONE
VEHICLE THEFT,Monday,19:00,BAYVIEW,NONE
OTHER OFFENSES,Tuesday,15:10,SOUTHERN,"ARREST, BOOKED"
RECOVERED VEHICLE,Tuesday,04:37,BAYVIEW,NONE
NON-CRIMINAL,Friday,02:52,MISSION,NONE
FRAUD,Tuesday,12:00,TARAVAL,NONE
DISORDERLY CONDUCT,Wednesday,23:52,MISSION,"ARREST, BOOKED"
VANDALISM,Sunday,14:30,BAYVIEW,NONE
ASSAULT,Friday,11:25,TARAVAL,"ARREST, BOOKED"
ASSAULT,Monday,19:20,BAYVIEW,NONE
ASSAULT,Wednesday,14:30,SOUTHERN,NONE
BURGLARY,Thursday,08:15,TARAVAL,NONE
LARCENY/THEFT,Saturday,09:41,SOUTHERN,"ARREST, BOOKED"
NON-CRIMINAL,Tuesday,11:45,TENDERLOIN,NONE
OTHER OFFENSES,Thursday,13:00,RICHMOND,NONE
ASSAULT,Thursday,07:30,NORTHERN,"ARREST, BOOKED"
LARCENY/THEFT,Monday,14:45,PARK,NONE
LARCENY/THEFT,Tuesday,20:30,CENTRAL,NONE
OTHER OFFENSES,Wednesday,23:10,BAYVIEW,"ARREST, BOOKED"
NON-CRIMINAL,Wednesday,08:25,PARK,NONE
SUSPICIOUS OCC,Friday,09:00,TARAVAL,NONE
FRAUD,Saturday,15:30,TARAVAL,NONE
ASSAULT,Saturday,16:44,TENDERLOIN,NONE
SUSPICIOUS OCC,Tuesday,10:00,MISSION,NONE
BURGLARY,Wednesday,12:00,TARAVAL,NONE
VANDALISM,Wednesday,17:00,BAYVIEW,NONE
SUSPICIOUS OCC,Saturday,00:55,RICHMOND,NONE
LIQUOR LAWS,Thursday,07:13,PARK,"ARREST, BOOKED"
TRESPASS,Monday,11:34,TENDERLOIN,"ARREST, BOOKED"
LARCENY/THEFT,Monday,13:59,SOUTHERN,NONE
NON-CRIMINAL,Sunday,20:30,CENTRAL,NONE
ROBBERY,Thursday,19:07,SOUTHERN,NONE
NON-CRIMINAL,Friday,17:00,MISSION,"ARREST, BOOKED"
ASSAULT,Monday,15:30,TENDERLOIN,NONE
TRESPASS,Tuesday,14:00,MISSION,"ARREST, BOOKED"
NON-CRIMINAL,Friday,19:43,CENTRAL,NONE
LARCENY/THEFT,Sunday,07:10,NORTHERN,NONE
DRUG/NARCOTIC,Saturday,03:53,INGLESIDE,"ARREST, BOOKED"
LARCENY/THEFT,Wednesday,22:16,NORTHERN,NONE
LARCENY/THEFT,Sunday,19:00,TARAVAL,NONE
OTHER OFFENSES,Wednesday,11:20,MISSION,"ARREST, BOOKED"
ASSAULT,Wednesday,13:30,TENDERLOIN,"ARREST, BOOKED"
OTHER OFFENSES,Monday,22:25,PARK,"ARREST, BOOKED"
FORGERY/COUNTERFEITING,Tuesday,08:30,BAYVIEW,NONE
LARCENY/THEFT,Friday,10:30,BAYVIEW,NONE
NON-CRIMINAL,Tuesday,00:08,BAYVIEW,NONE
LARCENY/THEFT,Friday,11:45,PARK,NONE
VEHICLE THEFT,Friday,20:00,RICHMOND,NONE
ROBBERY,Saturday,20:00,SOUTHERN,NONE
OTHER OFFENSES,Monday,13:00,PARK,NONE
NON-CRIMINAL,Tuesday,00:47,SOUTHERN,"ARREST, BOOKED"
SUSPICIOUS OCC,Saturday,16:15,RICHMOND,NONE
OTHER OFFENSES,Tuesday,10:00,RICHMOND,NONE
NON-CRIMINAL,Thursday,13:00,MISSION,NONE
OTHER OFFENSES,Tuesday,16:14,SOUTHERN,"ARREST, BOOKED"
LARCENY/THEFT,Thursday,17:55,CENTRAL,"ARREST, BOOKED"
LARCENY/THEFT,Tuesday,19:00,NORTHERN,NONE
LARCENY/THEFT,Tuesday,13:15,CENTRAL,NONE
OTHER OFFENSES,Tuesday,20:10,CENTRAL,"ARREST, BOOKED"
PROSTITUTION,Friday,21:00,SOUTHERN,NONE
LARCENY/THEFT,Thursday,17:28,SOUTHERN,NONE
FRAUD,Saturday,12:00,SOUTHERN,NONE
DRUG/NARCOTIC,Wednesday,09:36,BAYVIEW,"ARREST, BOOKED"
OTHER OFFENSES,Sunday,12:21,SOUTHERN,"ARREST, BOOKED"
NON-CRIMINAL,Thursday,15:30,TARAVAL,NONE
VEHICLE THEFT,Wednesday,17:15,INGLESIDE,NONE
SUSPICIOUS OCC,Tuesday,04:25,NORTHERN,NONE
NON-CRIMINAL,Monday,10:10,SOUTHERN,"ARREST, BOOKED"
RECOVERED VEHICLE,Monday,07:05,BAYVIEW,NONE
LARCENY/THEFT,Saturday,09:15,SOUTHERN,NONE
LARCENY/THEFT,Friday,10:20,CENTRAL,NONE
PROSTITUTION,Thursday,12:00,NORTHERN,"ARREST, BOOKED"
MISSING PERSON,Tuesday,20:00,MISSION,NONE
LARCENY/THEFT,Friday,17:30,NORTHERN,NONE
NON-CRIMINAL,Wednesday,10:00,BAYVIEW,NONE
ROBBERY,Saturday,18:15,CENTRAL,"ARREST, BOOKED"
LARCENY/THEFT,Sunday,18:00,TARAVAL,NONE
ASSAULT,Thursday,10:40,NORTHERN,"ARREST, BOOKED"
VEHICLE THEFT,Saturday,13:00,BAYVIEW,NONE
BURGLARY,Wednesday,16:00,PARK,NONE
MISSING PERSON,Friday,12:00,PARK,NONE
VANDALISM,Tuesday,23:05,MISSION,NONE
VANDALISM,Tuesday,07:15,NORTHERN,NONE
WEAPON LAWS,Thursday,12:00,PARK,NONE
LARCENY/THEFT,Saturday,19:00,CENTRAL,NONE
VEHICLE THEFT,Friday,19:45,SOUTHERN,NONE
ASSAULT,Sunday,20:26,NORTHERN,NONE
BURGLARY,Sunday,08:30,BAYVIEW,NONE
LARCENY/THEFT,Monday,16:21,NORTHERN,NONE
WARRANTS,Friday,13:45,BAYVIEW,"ARREST, BOOKED"
LARCENY/THEFT,Friday,17:00,RICHMOND,NONE
LARCENY/THEFT,Friday,08:00,NORTHERN,NONE
LARCENY/THEFT,Sunday,16:00,SOUTHERN,NONE
SUSPICIOUS OCC,Saturday,07:10,INGLESIDE,NONE
MISSING PERSON,Thursday,17:59,TENDERLOIN,NONE
TRESPASS,Tuesday,00:26,SOUTHERN,NONE
ASSAULT,Saturday,01:30,MISSION,NONE
OTHER OFFENSES,Sunday,18:29,SOUTHERN,"ARREST, BOOKED"
VEHICLE THEFT,Sunday,20:00,SOUTHERN,NONE
WARRANTS,Wednesday,22:15,TENDERLOIN,"ARREST, BOOKED"
ASSAULT,Sunday,12:27,NORTHERN,NONE
OTHER OFFENSES,Thursday,01:21,TARAVAL,"ARREST, BOOKED"
NON-CRIMINAL,Tuesday,10:35,TENDERLOIN,NONE
LARCENY/THEFT,Sunday,17:00,SOUTHERN,NONE
OTHER OFFENSES,Tuesday,16:17,TENDERLOIN,"ARREST, BOOKED"
NON-CRIMINAL,Monday,13:01,BAYVIEW,NONE
ROBBERY,Friday,05:20,PARK,NONE
VANDALISM,Saturday,10:00,MISSION,NONE
WARRANTS,Tuesday,07:25,TARAVAL,"ARREST, BOOKED"
MISSING PERSON,Tuesday,12:30,NORTHERN,NONE
SUSPICIOUS OCC,Sunday,18:29,SOUTHERN,NONE
SUSPICIOUS OCC,Wednesday,22:58,TENDERLOIN,NONE
MISSING PERSON,Wednesday,08:30,NORTHERN,NONE
LARCENY/THEFT,Monday,03:37,SOUTHERN,NONE
VEHICLE THEFT,Saturday,15:00,CENTRAL,NONE
SECONDARY CODES,Monday,15:16,SOUTHERN,NONE
NON-CRIMINAL,Sunday,11:00,TARAVAL,NONE
LARCENY/THEFT,Sunday,00:06,NORTHERN,NONE
NON-CRIMINAL,Saturday,22:20,RICHMOND,NONE
LARCENY/THEFT,Thursday,11:30,BAYVIEW,NONE
LARCENY/THEFT,Tuesday,06:00,NORTHERN,NONE
FRAUD,Saturday,05:00,MISSION,NONE
LARCENY/THEFT,Friday,18:30,SOUTHERN,NONE
VEHICLE THEFT,Wednesday,23:00,MISSION,NONE
BURGLARY,Thursday,13:22,NORTHERN,NONE
ROBBERY,Saturday,01:00,MISSION,NONE
ASSAULT,Friday,16:13,TARAVAL,NONE
NON-CRIMINAL,Sunday,09:44,TENDERLOIN,"ARREST, BOOKED"
BURGLARY,Wednesday,08:25,NORTHERN,"ARREST, BOOKED"
SUSPICIOUS OCC,Monday,01:37,SOUTHERN,NONE
MISSING PERSON,Thursday,16:00,PARK,NONE
LARCENY/THEFT,Tuesday,21:00,PARK,NONE
OTHER OFFENSES,Thursday,23:00,SOUTHERN,"ARREST, BOOKED"
LARCENY/THEFT,Thursday,21:00,NORTHERN,NONE
